Q2	x	z	ALL_lower	ALL	ALL_upper
1.000000000000000000e+00	1.000000000000000048e-04	3.499999999999999778e-01	-1.357900000000000079e-02	-7.021399999999999690e-03	-2.904599999999999804e-03
1.049900000000000055e+00	1.000000000000000048e-04	3.499999999999999778e-01	-1.288599999999999988e-02	-6.631800000000000195e-03	-2.850000000000000103e-03
1.866900000000000004e+00	1.000000000000000048e-04	3.499999999999999778e-01	-7.927599999999999925e-03	-3.733799999999999793e-03	-1.353999999999999952e-03
3.319900000000000073e+00	1.000000000000000048e-04	3.499999999999999778e-01	-6.734699999999999714e-03	-3.070400000000000039e-03	-1.035399999999999906e-03
5.903800000000000381e+00	1.000000000000000048e-04	3.499999999999999778e-01	-6.103299999999999871e-03	-2.713199999999999813e-03	-3.888700000000000224e-05
1.049900000000000055e+01	1.000000000000000048e-04	3.499999999999999778e-01	-5.005599999999999807e-03	-2.645100000000000055e-03	-1.062499999999999941e-04
1.866900000000000048e+01	1.000000000000000048e-04	3.499999999999999778e-01	-4.575700000000000253e-03	-2.373300000000000062e-03	-1.589600000000000095e-04
3.319899999999999807e+01	1.000000000000000048e-04	3.499999999999999778e-01	-4.725499999999999666e-03	-2.050499999999999805e-03	-1.966199999999999979e-04
5.903799999999999670e+01	1.000000000000000048e-04	3.499999999999999778e-01	-4.801999999999999845e-03	-1.893699999999999897e-03	-2.241900000000000067e-04
1.049899999999999949e+02	1.000000000000000048e-04	3.499999999999999778e-01	-4.808899999999999633e-03	-1.763900000000000103e-03	-2.448999999999999897e-04
1.866899999999999977e+02	1.000000000000000048e-04	3.499999999999999778e-01	-4.533900000000000430e-03	-1.582800000000000092e-03	-2.602999999999999845e-04
3.319900000000000091e+02	1.000000000000000048e-04	3.499999999999999778e-01	-4.361799999999999879e-03	-1.496799999999999953e-03	-2.708499999999999970e-04
5.903799999999999955e+02	1.000000000000000048e-04	3.499999999999999778e-01	-4.211300000000000286e-03	-1.424300000000000089e-03	-2.789000000000000029e-04
1.049900000000000091e+03	1.000000000000000048e-04	3.499999999999999778e-01	-4.077199999999999575e-03	-1.361599999999999920e-03	-2.844100000000000230e-04
